0.4981,0.52411,0.10963,0.57136,0.68331,0.11885,0.36831,0.8956,0.72284,0.20424
0.48743,0.1202,0.43777,0.62869,0.60856,0.38014,0.65561,0.48251,0.66809,0.76721
0.22947,0.17779,0.28023,0.87776,0.21966,0.81283,0.9382,0.44274,0.17883,0.069973
0.085552,0.70611,0.98525,0.66235,0.40628,0.2441,0.62043,0.31175,0.5505,0.95003
0.067383,0.83136,0.60876,0.87541,0.62991,0.88442,0.28284,0.055314,0.95988,0.15821
0.88839,0.034834,0.25375,0.46752,0.55531,0.71265,0.20518,0.75379,0.59602,0.28645
0.23317,0.75784,0.13261,0.14134,0.12758,0.37815,0.43913,0.13195,0.80857,0.68713
0.8616,0.95711,0.545,0.068134,0.1692,0.24892,0.02725,0.35592,0.98453,0.14115
0.71174,0.34287,0.8278,0.71424,0.00099942,0.25285,0.87618,0.39587,0.88592,0.51209
0.87281,0.63824,0.83701,0.30799,0.41816,0.76724,0.61009,0.88552,0.21384,0.72133
0.938,0.34301,0.83335,0.67116,0.48849,0.049862,0.20359,0.02124,0.03463,0.92885
0.13969,0.21647,0.20372,0.65242,0.15987,0.68529,0.51992,0.84408,0.45112,0.7321
0.3939,0.7862,0.54442,0.53105,0.66684,0.62028,0.053824,0.28807,0.013795,0.74985
0.98056,0.72309,0.87494,0.71511,0.01792,0.74668,0.86219,0.25034,0.47371,0.40732
0.64479,0.27884,0.121,0.50481,0.11968,0.97726,0.44293,0.48838,0.9512,0.23949
0.89641,0.58243,0.85635,0.488,0.95213,0.38391,0.54801,0.72904,0.24895,0.52085
0.48223,0.42101,0.89978,0.49784,0.97585,0.26021,0.56686,0.20262,0.38642,0.21908
0.014093,0.092069,0.21787,0.93598,0.030915,0.87747,0.68039,0.21628,0.43143,0.84239
0.62288,0.024027,0.076979,0.38928,0.49388,0.8061,0.37138,0.97633,0.83089,0.66293
0.2311,0.49115,0.47422,0.11715,0.86272,0.46112,0.078229,0.59324,0.82465,0.81624
0.52743,0.27827,0.83503,0.24042,0.24288,0.090962,0.45635,0.3044,0.453,0.79388
0.72499,0.33976,0.46939,0.68491,0.83427,0.56427,0.047844,0.9677,0.38056,0.46911
0.60742,0.28735,0.41377,0.83925,0.81359,0.18738,0.73826,0.89597,0.92587,0.30952
0.58837,0.1709,0.50275,0.97014,0.62897,0.53169,0.038002,0.19003,0.74084,0.68758
0.43343,0.39926,0.12544,0.21517,0.0022382,0.35503,0.95424,0.0017993,0.73763,0.98685
0.24417,0.69765,0.13229,0.76034,0.37972,0.31478,0.74237,0.71176,0.94692,0.76993
0.42896,0.20368,0.87048,0.5841,0.90441,0.72674,0.93745,0.86773,0.5101,0.82958
0.010177,0.66633,0.60295,0.40295,0.68035,0.51577,0.51336,0.11831,0.79188,0.70608
0.60882,0.44307,0.2653,0.51004,0.37882,0.79064,0.2409,0.039023,0.45217,0.59534
