0.17567,0.20567,0.35961,0.045051,0.89589,0.15223,0.28495
0.20895,0.38827,0.55832,0.72317,0.09909,0.34801,0.67323
0.90515,0.55178,0.74255,0.34744,0.044166,0.12166,0.66428
0.67539,0.22895,0.42433,0.66062,0.5573,0.88415,0.12281
0.46847,0.64194,0.42936,0.38387,0.7725,0.094278,0.40732
0.91213,0.48448,0.12487,0.62735,0.31194,0.93004,0.27529
0.10401,0.15185,0.024434,0.02165,0.17898,0.39902,0.71667
0.74555,0.78193,0.29019,0.91057,0.33896,0.047401,0.28338
0.73627,0.10061,0.31752,0.80056,0.21015,0.34237,0.8962
0.56186,0.29407,0.65369,0.74585,0.51015,0.73597,0.82658
0.18419,0.23737,0.95694,0.81311,0.90636,0.79468,0.39003
0.59721,0.53087,0.93573,0.38331,0.62892,0.54491,0.4979
0.29994,0.091499,0.45789,0.61728,0.10153,0.68622,0.69481
0.13412,0.40532,0.24048,0.57549,0.39085,0.89363,0.83437
0.2126,0.10485,0.7639,0.53005,0.054617,0.054792,0.60963
0.89494,0.11228,0.75933,0.27507,0.50128,0.30366,0.57474
0.071453,0.78443,0.74065,0.24863,0.43172,0.046192,0.32604
0.24249,0.29157,0.74369,0.45164,0.99756,0.19548,0.45642
0.053754,0.60353,0.10592,0.22771,0.8116,0.72017,0.7138
0.44172,0.96442,0.68156,0.80445,0.48565,0.72175,0.88441
0.013283,0.43248,0.46326,0.9861,0.89445,0.8778,0.72086
0.89719,0.69475,0.21216,0.029992,0.13755,0.58243,0.018613
0.19666,0.7581,0.098519,0.53566,0.39,0.070684,0.67478
0.093371,0.43264,0.82357,0.087077,0.92736,0.92274,0.43851
0.30737,0.6555,0.17501,0.80209,0.91749,0.80037,0.43782
0.45606,0.10976,0.16357,0.98914,0.71357,0.28595,0.11704
0.10167,0.93376,0.66599,0.066946,0.61834,0.54366,0.81468
0.99539,0.18746,0.89439,0.9394,0.34329,0.98478,0.32486
0.33209,0.26618,0.51656,0.018178,0.93603,0.71568,0.24623
0.29735,0.79783,0.7027,0.68384,0.12477,0.83897,0.34271
0.062045,0.4876,0.15359,0.78374,0.73059,0.43326,0.37569
0.29824,0.76896,0.95346,0.53414,0.64648,0.47062,0.54655
0.046351,0.39601,0.54088,0.88536,0.83315,0.56071,0.56192
0.50543,0.27294,0.67973,0.899,0.39828,0.26909,0.39582
0.76143,0.037235,0.036563,0.62594,0.74982,0.74902,0.39813
0.63107,0.67329,0.8092,0.13787,0.83522,0.50389,0.51537
0.089892,0.42956,0.74862,0.2178,0.32246,0.64681,0.65753
0.080862,0.45174,0.12019,0.18214,0.55226,0.30775,0.95092
0.77724,0.60986,0.52505,0.04182,0.97913,0.13872,0.72235
0.90513,0.059403,0.32583,0.10694,0.54931,0.47557,0.40008
0.53377,0.31581,0.54645,0.61644,0.33042,0.36246,0.83187
0.10915,0.77272,0.39888,0.93966,0.61947,0.78811,0.13434
0.82581,0.69643,0.41509,0.35446,0.36064,0.7803,0.060467
0.3381,0.12533,0.18074,0.41063,0.75651,0.66851,0.084247
0.29397,0.13015,0.25539,0.98435,0.4139,0.1335,0.1639
0.74631,0.092352,0.020536,0.94558,0.49235,0.021556,0.32422
